"Payroll Item","Type"
"Bonus","Bonus"
"Clean Inspection Bonus","Bonus"
"Daily P&D","Hourly Wage"
"Daily Training Rate","Hourly Wage"
"Detention","Commission"
"Exit Review Bonus","Bonus"
"Flat Rate","Commission"
"Hourly (Admin)","Hourly Wage"
"Hourly (Driver)","Hourly Wage"
"Layover - DD","Commission"
"Orientation","Hourly Wage"
"Overtime (Admin) hourly","Hourly Wage"
"Per Mile (Solo Dedicated)","Commission"
"Per Mile (Solo No Per Diem)","Commission"
"Per Mile (Team Dedicated)","Commission"
"Per Mile (Trainee)","Commission"
"Per Mile (Trainer)","Commission"
"Percentage (FedEx)","Commission"
"Perf / Safety Bonus","Commission"
"Recruiting Bonus","Bonus"
"Retroactive Mileage Repayment","Commission"
"Salary (Admin)","Yearly Salary"
"Salary (Admin) - 1","Hourly Wage"
"Vacation (Driver)","Commission"
"Vacation Hours - 1","Hourly Wage"
