,"Payroll Item","Expense Account","Type","Amount","Tax Tracking"
,"Cash Advance","Advances-Old","Addition",0.00,"None"
,"Note Payable","Note Pay - Al Jones","Addition",0.00,"None"
,"Per Diem","Payroll Expenses:Drivers:Per Diem Meals/Travel:FedEx / Redbone","Addition",0.10,"Other"
,"Reimburse (Drug Test)","Drug Testing","Addition",0.00,"None"
,"Reimburse (Load)","Miscellaneous Expense","Addition",0.00,"None"
,"Reimburse (Lumper)","Fees:Lumper Fee","Addition",0.00,"None"
,"Reimburse (Meals/Ent)","Meals & Entertainment:M&E - Meals","Addition",0.00,"None"
,"Reimburse (Misc)","Miscellaneous Expense","Addition",0.00,"None"
,"Reimburse (Pallets)","Fees:Pallets","Addition",0.00,"None"
,"Reimburse (Parking)","Fees:Parking","Addition",0.00,"None"
,"Reimburse (Repair/Maint)","Repairs & Maintenance","Addition",0.00,"None"
,"Reimburse (Scale)","Fees:Scale Fees","Addition",0.00,"None"
,"Reimburse (Telephone)","Utilities:Telephone","Addition",65.00,"None"
,"Reimburse (Tolls)","Tolls","Addition",0.00,"None"
,"Reimburse (Trailer Fuel)","Fuel:Trailer Fuel","Addition",0.00,"None"
,"Reimburse (Travel)","Travel & Lodging","Addition",0.00,"None"
,"Reimburse (Truck Fuel)","Fuel:Truck Fuel","Addition",0.00,"None"
,"Reimburse (Wash)","Repairs & Maintenance:Wash Expense","Addition",0.00,"None"
,"Reimbursement (Office)","Office Expense:Office Supplies","Addition",0.00,"None"
,"Tool Allowance (Employee)","Shop Expense:Tools","Addition",0.00,"None"
